1706414707Connecting to host 11.11.11.16, port 5201
1706414708[  5] local 172.17.0.2 port 41796 connected to 11.11.11.16 port 5201
1706414709[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
1706414890[  5]   1.00-2.00   sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414891[  5]   2.00-3.00   sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414892[  5]   3.00-4.00   sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414893[  5]   4.00-5.00   sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414894[  5]   5.00-6.00   sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414895[  5]   6.00-7.00   sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414896[  5]   7.00-8.00   sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414897[  5]   8.00-9.00   sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414898[  5]   9.00-10.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414899[  5]  10.00-11.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414900[  5]  11.00-12.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414901[  5]  12.00-13.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414902[  5]  13.00-14.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414903[  5]  14.00-15.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414904[  5]  15.00-16.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414905[  5]  16.00-17.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414906[  5]  17.00-18.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414907[  5]  18.00-19.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414908[  5]  19.00-20.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414909[  5]  20.00-21.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414910[  5]  21.00-22.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414911[  5]  22.00-23.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414912[  5]  23.00-24.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414913[  5]  24.00-25.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414914[  5]  25.00-26.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414915[  5]  26.00-27.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414916[  5]  27.00-28.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414917[  5]  28.00-29.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414918[  5]  29.00-30.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414919[  5]  30.00-31.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414920[  5]  31.00-32.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414921[  5]  32.00-33.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414922[  5]  33.00-34.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414923[  5]  34.00-35.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414924[  5]  35.00-36.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414925[  5]  36.00-37.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414926[  5]  37.00-38.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414927[  5]  38.00-39.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414928[  5]  39.00-40.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414929[  5]  40.00-41.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414930[  5]  41.00-42.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414931[  5]  42.00-43.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414932[  5]  43.00-44.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414933[  5]  44.00-45.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414934[  5]  45.00-46.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414935[  5]  46.00-47.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414936[  5]  47.00-48.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414937[  5]  48.00-49.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414938[  5]  49.00-50.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414939[  5]  50.00-51.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414940[  5]  51.00-52.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414941[  5]  52.00-53.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414942[  5]  53.00-54.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414943[  5]  54.00-55.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414944[  5]  55.00-56.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414945[  5]  56.00-57.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414946[  5]  57.00-58.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414947[  5]  58.00-59.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414948[  5]  59.00-60.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414949[  5]  60.00-61.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414950[  5]  61.00-62.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414951[  5]  62.00-63.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414952[  5]  63.00-64.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414953[  5]  64.00-65.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414954[  5]  65.00-66.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414955[  5]  66.00-67.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414956[  5]  67.00-68.00  sec  12.0 MBytes   101 Mbits/sec    0    132 KBytes       
1706414957[  5]  68.00-69.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
1706414958[  5]  69.00-70.00  sec  11.9 MBytes  99.6 Mbits/sec    0    132 KBytes       
